No	feature	variable
1	tBodyAcc-mean()-X	tBdAcc_mean_X
2	tBodyAcc-mean()-Y	tBdAcc_mean_Y
3	tBodyAcc-mean()-Z	tBdAcc_mean_Z
4	tBodyAcc-std()-X	tBdAcc_std_X
5	tBodyAcc-std()-Y	tBdAcc_std_Y
6	tBodyAcc-std()-Z	tBdAcc_std_Z
7	tBodyAcc-mad()-X	tBdAcc_mad_X
8	tBodyAcc-mad()-Y	tBdAcc_mad_Y
9	tBodyAcc-mad()-Z	tBdAcc_mad_Z
10	tBodyAcc-max()-X	tBdAcc_max_X
11	tBodyAcc-max()-Y	tBdAcc_max_Y
12	tBodyAcc-max()-Z	tBdAcc_max_Z
13	tBodyAcc-min()-X	tBdAcc_min_X
14	tBodyAcc-min()-Y	tBdAcc_min_Y
15	tBodyAcc-min()-Z	tBdAcc_min_Z
16	tBodyAcc-sma()	tBdAcc_sma
17	tBodyAcc-energy()-X	tBdAcc_energy_X
18	tBodyAcc-energy()-Y	tBdAcc_energy_Y
19	tBodyAcc-energy()-Z	tBdAcc_energy_Z
20	tBodyAcc-iqr()-X	tBdAcc_iqr_X
21	tBodyAcc-iqr()-Y	tBdAcc_iqr_Y
22	tBodyAcc-iqr()-Z	tBdAcc_iqr_Z
23	tBodyAcc-entropy()-X	tBdAcc_entropy_X
24	tBodyAcc-entropy()-Y	tBdAcc_entropy_Y
25	tBodyAcc-entropy()-Z	tBdAcc_entropy_Z
26	"tBodyAcc-arCoeff()-X,1"	tBdAcc_arCoeff_X_1
27	"tBodyAcc-arCoeff()-X,2"	tBdAcc_arCoeff_X_2
28	"tBodyAcc-arCoeff()-X,3"	tBdAcc_arCoeff_X_3
29	"tBodyAcc-arCoeff()-X,4"	tBdAcc_arCoeff_X_4
30	"tBodyAcc-arCoeff()-Y,1"	tBdAcc_arCoeff_Y_1
31	"tBodyAcc-arCoeff()-Y,2"	tBdAcc_arCoeff_Y_2
32	"tBodyAcc-arCoeff()-Y,3"	tBdAcc_arCoeff_Y_3
33	"tBodyAcc-arCoeff()-Y,4"	tBdAcc_arCoeff_Y_4
34	"tBodyAcc-arCoeff()-Z,1"	tBdAcc_arCoeff_Z_1
35	"tBodyAcc-arCoeff()-Z,2"	tBdAcc_arCoeff_Z_2
36	"tBodyAcc-arCoeff()-Z,3"	tBdAcc_arCoeff_Z_3
37	"tBodyAcc-arCoeff()-Z,4"	tBdAcc_arCoeff_Z_4
38	"tBodyAcc-correlation()-X,Y"	tBdAcc_cor_X_Y
39	"tBodyAcc-correlation()-X,Z"	tBdAcc_cor_X_Z
40	"tBodyAcc-correlation()-Y,Z"	tBdAcc_cor_Y_Z
41	tGravityAcc-mean()-X	tGAcc_mean_X
42	tGravityAcc-mean()-Y	tGAcc_mean_Y
43	tGravityAcc-mean()-Z	tGAcc_mean_Z
44	tGravityAcc-std()-X	tGAcc_std_X
45	tGravityAcc-std()-Y	tGAcc_std_Y
46	tGravityAcc-std()-Z	tGAcc_std_Z
47	tGravityAcc-mad()-X	tGAcc_mad_X
48	tGravityAcc-mad()-Y	tGAcc_mad_Y
49	tGravityAcc-mad()-Z	tGAcc_mad_Z
50	tGravityAcc-max()-X	tGAcc_max_X
51	tGravityAcc-max()-Y	tGAcc_max_Y
52	tGravityAcc-max()-Z	tGAcc_max_Z
53	tGravityAcc-min()-X	tGAcc_min_X
54	tGravityAcc-min()-Y	tGAcc_min_Y
55	tGravityAcc-min()-Z	tGAcc_min_Z
56	tGravityAcc-sma()	tGAcc_sma
57	tGravityAcc-energy()-X	tGAcc_energy_X
58	tGravityAcc-energy()-Y	tGAcc_energy_Y
59	tGravityAcc-energy()-Z	tGAcc_energy_Z
60	tGravityAcc-iqr()-X	tGAcc_iqr_X
61	tGravityAcc-iqr()-Y	tGAcc_iqr_Y
62	tGravityAcc-iqr()-Z	tGAcc_iqr_Z
63	tGravityAcc-entropy()-X	tGAcc_entropy_X
64	tGravityAcc-entropy()-Y	tGAcc_entropy_Y
65	tGravityAcc-entropy()-Z	tGAcc_entropy_Z
66	"tGravityAcc-arCoeff()-X,1"	tGAcc_arCoeff_X_1
67	"tGravityAcc-arCoeff()-X,2"	tGAcc_arCoeff_X_2
68	"tGravityAcc-arCoeff()-X,3"	tGAcc_arCoeff_X_3
69	"tGravityAcc-arCoeff()-X,4"	tGAcc_arCoeff_X_4
70	"tGravityAcc-arCoeff()-Y,1"	tGAcc_arCoeff_Y_1
71	"tGravityAcc-arCoeff()-Y,2"	tGAcc_arCoeff_Y_2
72	"tGravityAcc-arCoeff()-Y,3"	tGAcc_arCoeff_Y_3
73	"tGravityAcc-arCoeff()-Y,4"	tGAcc_arCoeff_Y_4
74	"tGravityAcc-arCoeff()-Z,1"	tGAcc_arCoeff_Z_1
75	"tGravityAcc-arCoeff()-Z,2"	tGAcc_arCoeff_Z_2
76	"tGravityAcc-arCoeff()-Z,3"	tGAcc_arCoeff_Z_3
77	"tGravityAcc-arCoeff()-Z,4"	tGAcc_arCoeff_Z_4
78	"tGravityAcc-correlation()-X,Y"	tGAcc_cor_X_Y
79	"tGravityAcc-correlation()-X,Z"	tGAcc_cor_X_Z
80	"tGravityAcc-correlation()-Y,Z"	tGAcc_cor_Y_Z
81	tBodyAccJerk-mean()-X	tBdAccJerk_mean_X
82	tBodyAccJerk-mean()-Y	tBdAccJerk_mean_Y
83	tBodyAccJerk-mean()-Z	tBdAccJerk_mean_Z
84	tBodyAccJerk-std()-X	tBdAccJerk_std_X
85	tBodyAccJerk-std()-Y	tBdAccJerk_std_Y
86	tBodyAccJerk-std()-Z	tBdAccJerk_std_Z
87	tBodyAccJerk-mad()-X	tBdAccJerk_mad_X
88	tBodyAccJerk-mad()-Y	tBdAccJerk_mad_Y
89	tBodyAccJerk-mad()-Z	tBdAccJerk_mad_Z
90	tBodyAccJerk-max()-X	tBdAccJerk_max_X
91	tBodyAccJerk-max()-Y	tBdAccJerk_max_Y
92	tBodyAccJerk-max()-Z	tBdAccJerk_max_Z
93	tBodyAccJerk-min()-X	tBdAccJerk_min_X
94	tBodyAccJerk-min()-Y	tBdAccJerk_min_Y
95	tBodyAccJerk-min()-Z	tBdAccJerk_min_Z
96	tBodyAccJerk-sma()	tBdAccJerk_sma
97	tBodyAccJerk-energy()-X	tBdAccJerk_energy_X
98	tBodyAccJerk-energy()-Y	tBdAccJerk_energy_Y
99	tBodyAccJerk-energy()-Z	tBdAccJerk_energy_Z
100	tBodyAccJerk-iqr()-X	tBdAccJerk_iqr_X
101	tBodyAccJerk-iqr()-Y	tBdAccJerk_iqr_Y
102	tBodyAccJerk-iqr()-Z	tBdAccJerk_iqr_Z
103	tBodyAccJerk-entropy()-X	tBdAccJerk_entropy_X
104	tBodyAccJerk-entropy()-Y	tBdAccJerk_entropy_Y
105	tBodyAccJerk-entropy()-Z	tBdAccJerk_entropy_Z
106	"tBodyAccJerk-arCoeff()-X,1"	tBdAccJerk_arCoeff_X_1
107	"tBodyAccJerk-arCoeff()-X,2"	tBdAccJerk_arCoeff_X_2
108	"tBodyAccJerk-arCoeff()-X,3"	tBdAccJerk_arCoeff_X_3
109	"tBodyAccJerk-arCoeff()-X,4"	tBdAccJerk_arCoeff_X_4
